scope;key;field;eng;cat;spa;revisat
STAOperations;SubscribeSTA;help;Subscribes to notifications of change in the parent resource. It requires that the parent node is a STA or STAplus with WebSub available. Then it subscribes to a topic and opens a websocket connection and waits for updates. When new records are received, they are immediately added to the table.;Se subscriu a les notificacions de canvi del recurs pare. Cal que el node pare sigui un STA o un STAplus amb WebSub disponible. DesprÇs se subscriu a un tema, obre una connexi¢ websocket i espera actualitzacions. Quan es reben registres nous, s'afegeixen immediatament a la taula.;Se suscribe a las notificaciones de cambio del recurso padre. Requiere que el nodo padre sea un STA o un STAplus con WebSub disponible. Luego se suscribe a un tema, abre una conexi¢n websocket y espera actualizaciones. Cuando se reciben registros nuevos, se a§aden inmediatamente a la tabla.;si
DialogImportCSV;suggestedCsvUrls;label;Suggested CSV URLs:;URL de CSV suggerides:;URL de CSV sugeridas:;s
DialogImportGeoJSON;suggestedUrls;label;Suggested GeoJSON URLs:;URL de GeoJSON suggerides:;URL de GeoJSON sugeridas:;s
DialogSTAURL;suggestedServices;label;Suggested services:;Serveis suggerits:;Servicios sugeridos:;s
DialogS3Bucket;suggestedServices;label;Suggested services:;Serveis suggerits:;Servicios sugeridos:;s
DialogEDC;suggestedServices;label;Suggested services:;Serveis suggerits:;Servicios sugeridos:;s
DialogAggregateColumns;suggested;label;Suggested:;Suggerit:;Sugerido:;s
TableOperations;TransposeTable;help;"Swap rows and columns; new column names come from values of a chosen header column.";"Intercanvia files i columnes; els nous noms de columna provenen dels valors d'una columna de capáalera escollida.";"Intercambia filas y columnas; los nuevos nombres de columna provienen de los valores de una columna de cabecera elegida.";si
alert;symbolRequired;text;Symbol parameter is required, please fill in the box before send;"El parÖmetre de Symbol Çs obligatori; ompliu la casella abans d'enviar";"El par†metro de Symbol es obligatorio; rellene la casilla antes de enviar";s
DialogSaveLayer;symbolizer;label;Symbolizer (text or color)*:;Simbolitzador (text o color)*:;Simbolizador (texto o color)*:;s
clarification;syntaxErrorReading;text;Syntax error reading {0}: {1};Error de sintaxi en llegir {0}: {1};Error de sintaxis al leer {0}: {1};si
DialogImportCSV;tab;label;Tab;Tabulador;Tabulador;s
DialogConfiguration;fontSizeRatio;label;Table font size ratio:;Relaci¢ de mida de la lletra de la taula:;Proporci¢n del tama§o de letra de la tabla:;s
DialogQualityThematicQuality;tableToAssess;label;Table to assess:;Taula a avaluar:;Tabla a evaluar:;s
dataQualityType;Type;singular;Table tool for data quality;Eina de taula per a la qualitat de les dades;Herramienta de tabla para la calidad de los datos;si
tableStatisticsVisualizeType;Type;singular;Table tool for statistics and visualization;Eina de taula per a estad°stiques i visualitzaci¢;Herramienta de tabla para estad°sticas y visualizaci¢n;si
dataQualityType;Type;plural;Table tools for data quality;Eines de taula per a la qualitat de les dades;Herramientas de tabla para la calidad de los datos;si
tableStatisticsVisualizeType;Type;plural;Table tools for statistics and visualization;Eines de taula per a estad°stiques i visualitzaci¢;Herramientas de tabla para estad°sticas y visualizaci¢n;si
DialogQualityThematicQuality;tablePossibleValues;label;Table with list of possible values:;Taula amb la llista de valors possibles:;Tabla con la lista de valores posibles:;s
DialogOpenURLNetwork;schemaUrl;label;TAPIS saved schema URL:;URL de l'esquema TAPIS desat:;URL del esquema TAPIS guardado:;s
DialogQualityLogicalConsistency;targetData;label;Target data;Dades objectiu;Datos objetivo;s
alert;targetAndReferenceSame;text;target node and reference node are the same are identified as the same;El node objectiu i el node de referäncia s¢n el mateix i s'identifiquen com a tal;El nodo objetivo y el nodo de referencia son el mismo y se identifican como tal;si
DialogGUF;target;title;Target:;Objectiu:;Objetivo:;s
DialogFormatConsistency;telephone;label;Telephone;Teläfon;TelÇfono;s
DialogQualityTemporalQuality;temporalAccuracy;title;Temporal accuracy;Exactitud temporal;Exactitud temporal;s
DialogQualityTemporalQuality;temporalColumn;label;Temporal column:;Columna temporal:;Columna temporal:;s
DialogQualityTemporalQuality;temporalConsistency;title;Temporal consistency;Consistäncia temporal;Consistencia temporal;s
DialogUncertainty;temporalGrouping;title;Temporal grouping;Agrupaci¢ temporal;Agrupaci¢n temporal;s
dataQuality;temporalQuality;description;Temporal quality;Qualitat temporal;Calidad temporal;si
DialogQualityTemporalQuality;title;title;Temporal quality;Qualitat temporal;Calidad temporal;s
DialogQualityTemporalQuality;temporalResolution;title;Temporal resolution;Resoluci¢ temporal;Resoluci¢n temporal;s
DialogQualityTemporalQuality;temporalValidity;title;Temporal validity;Validesa temporal;Validez temporal;s
clarification;assetAddedDq4sta;text;The asset has been added to DQ4STA at URL: {0};L'actiu s'ha afegit a DQ4STA a l'URL: {0};El activo se ha a§adido a DQ4STA en la URL: {0};s
alert;chartImageSaveFailed;text;The chart image could not be saved.;No s'ha pogut desar la imatge del grÖfic.;No se ha podido guardar la imagen del gr†fico.;si
alert;groupByXMustBeNumber;text;The column selected to group by position (X) must be a number-type column;La columna seleccionada per agrupar per posici¢ (X) ha de ser una columna de tipus numäric;La columna seleccionada para agrupar por posici¢n (X) debe ser una columna de tipo numÇrico;si
alert;groupByYMustBeNumber;text;The column selected to group by position (Y) must be a number-type column;La columna seleccionada per agrupar per posici¢ (Y) ha de ser una columna de tipus numäric;La columna seleccionada para agrupar por posici¢n (Y) debe ser una columna de tipo numÇrico;si
alert;groupByTimeMustBeTime;text;The column selected to group by time must be a time-type column;La columna seleccionada per agrupar per temps ha de ser una columna de tipus temporal;La columna seleccionada para agrupar por tiempo debe ser una columna de tipo temporal;si
alert;separateColMustBeString;text;The content of column selected to separate must be 'string' type;El contingut de la columna seleccionada per separar ha de ser del tipus ÆstringØ;El contenido de la columna seleccionada para separar debe ser de tipo ÆstringØ;si
alert;featureLocationPointOnly;text;The coordinates format for 'feature' or 'location' is not supported. Only a Point structure is supported: Array of two decimal numbers.;El format de coordenades per a 'feature' o 'location' no Çs compatible. NomÇs s'admet una estructura Point: una matriu de dos nombres decimals.;El formato de coordenadas para 'feature' o 'location' no es compatible. Solo se admite una estructura Point: un array de dos n£meros decimales.;si
alert;dataMustContainMetadata;text;The data has to contain metadata;Les dades han de contenir metadades;Los datos deben contener metadatos;si
alert;dataMustHaveAttributes;text;The data has to had attributes;Les dades han de tenir atributs;Los datos deben tener atributos;si
dataQuality;misclassificationMatrix;help;The degree to which the assigned classifications correspond to the reference classifications, as represented by a matrix of correctly and incorrectly classified items;El grau en quä les classificacions assignades es corresponen amb les classificacions de referäncia, representat mitjanáant una matriu d'elements classificats correctament i incorrectament;El grado en que las clasificaciones asignadas se corresponden con las clasificaciones de referencia, representado mediante una matriz de elementos clasificados correcta e incorrectamente;si
alert;entityExpandMustBeList;text;The entity expanded must be a list to apply the filter.;L'entitat expandida ha de ser una llista per aplicar el filtre.;La entidad expandida debe ser una lista para aplicar el filtro.;si
DialogImportCSV;firstLineNames;label;The first line contains field names;La primera l°nia contÇ els noms dels camps;La primera l°nea contiene los nombres de los campos;s
alert;formatRequestNotImplemented;text;The format requets from an external source ({0}) is not implemented yet;La sol˙licitud de format des d'una font externa ({0}) encara no ha estat implementada;La solicitud de formato desde una fuente externa ({0}) a£n no ha estado implementada;si
alert;intervalTooLongForGraphic;text;The interval of the data selected is too long to apply to the graphic. Filter interval to make it shorter or choose a bigger interval to X axis;L'interval de les dades seleccionades Çs massa llarg per aplicar-lo al grÖfic. Filtreu l'interval per fer-lo mÇs curt o trieu un interval mÇs gran per a l'eix X;El intervalo de los datos seleccionados es demasiado largo para aplicarlo al gr†fico. Filtre el intervalo para acortarlo o elija un intervalo mayor para el eje X;si
alert;nodeConnectedMustHaveData;text;The node conected has to have data;El node connectat ha de tenir dades;El nodo conectado debe tener datos;si
DialogQualityThematicQuality;accuracyByCol;title;Thematic accuracy by accuracy column;Exactitud temÖtica per columna d'exactitud;Exactitud tem†tica por columna de exactitud;s
DialogQualityThematicQuality;accuracyByValues;title;Thematic accuracy by values;Exactitud temÖtica per valors;Exactitud tem†tica por valores;s
dataQuality;thematicQuality;description;Thematic quality;Qualitat temÖtica;Calidad tem†tica;si
DialogQualityThematicQuality;title;title;Thematic quality;Qualitat temÖtica;Calidad tem†tica;s
DialogQualityThematicQuality;thematicValidity;title;Thematic validity;Validesa temÖtica;Validez tem†tica;s
alert;noColumnsInListToAdd;text;There are no columns in the list to add, nothing will be added to the table;"No hi ha cap columna per afegir a la llista; no s'afegirÖ res a la taula";"No hay ninguna columna que a§adir en la lista; no se a§adir† nada a la tabla";si
alert;nonStaNodeMultipleRegisters;text;There is a node linked not STA with more than one register, if you want to use it, apply a select row to choose your register;"Hi ha enllaáat un node que no Çs STA amb mÇs d'un registre; si voleu utilitzar-lo, apliqueu una selecci¢ de fila per triar el registre";"Hay enlazado un nodo que no es STA con m†s de un registro; si desea utilizarlo, aplique una selecci¢n de fila para elegir el registro";si
alert;moreThanOneSingleRegisterNode;text;There is more than one node with only one register linked. Link only one node with one register to use to take the coordenates;Hi ha mÇs d'un node enllaáat amb un sol registre. Enllaceu nomÇs un node amb un registre per utilitzar-lo per obtenir les coordenades;Hay m†s de un nodo enlazado con un solo registro. Enlace £nicamente un nodo con un registro para utilizarlo para obtener las coordenadas;si
clarification;errorWithUrl;text;There was an error with {0}: {1};S'ha produãt un error amb {0}: {1};Se ha producido un error con {0}: {1};si
alert;attributeAlreadyAddedIn;text;This attribute has already been added in {0};Aquest atribut ja s'ha afegit a {0};Este atributo ya se ha a§adido en {0};si
alert;datesInvalid;text;This procedure must contain date information. Introduced dates do not meet this requirement;Aquest procediment ha de contenir informaci¢ tipus data. Les dades introduãdes no compleixen aquest requisit;Este procedimiento debe contener informaci¢n tipo fecha. Los datos introducidao no cumplen este requisito;si
alert;needDateColumn;text;This procedure must contain date information. The selected column do not meet this requirement;Aquest procediment ha de contenir informaci¢ tipus data. La columna seleccionada no compleix aquest requisit;Este procedimiento debe contener informaci¢n tipo fecha. La columna seleccionada no cumple este requisito;si
alert;needGeographicColumns;text;This procedure must contain geographical information. The selected columns do not meet this requirement;Aquest procediment ha de contenir informaci¢ geogrÖfica. Les columnes seleccionades no compleixen aquest requisit;Este procedimiento debe contener informaci¢n geogr†fica. Las columnas seleccionadas no cumplen este requisito;si
alert;geographicValuesInvalid;text;This procedure must contain geographical information. Values introduced are not valid;Aquest procediment ha de contenir informaci¢ geogrÖfica. Els valors introduãts no s¢n vÖlids;Este procedimiento debe contener informaci¢n geogr†fica. Los valores introducidos no son v†lidos;si
alert;websubUnsupported;text;This STA as a whole or this particular request does not support WebSbu and updates are not posible,;Aquest STA en conjunt o aquesta petici¢ en particular no admet WebSub i les actualitzacions no s¢n possibles,;Este STA en conjunto o esta solicitud en particular no admite WebSub y las actualizaciones no son posibles,;si
DialogFormatConsistency;time;label;Time;Hora;Hora;s
DialogSaveLayer;timeSeries;title;Time Series (optional);Särie temporal (opcional);Serie temporal (opcional);s
DialogUncertainty;timeUnit;text;Time unit:;Unitat de temps:;Unidad de tiempo:;s
DialogQualityTemporalQuality;timeUnit;text;Time unit:;Unitat de temps:;Unidad de tiempo:;s
DialogGUF;titleMandatory;label;Title (mandatory to add) :;T°tol (obligatori per afegir) :;T°tulo (obligatorio para a§adir) :;s
DialogSaveLayer;titleField;label;Title:;T°tol:;T°tulo:;s
DialogFilterRowsByTime;aggregateOptional;title;"To aggregate data by (Optional. Only available with ""Observations""):";"Per agregar les dades per (Opcional. NomÇs disponible amb ""Observations""):";"Para agregar los datos por (Opcional. S¢lo disponible con ""Observations""):";s
alert;dateRoundingNeedOneDate;text;To apply date rounding one date type attribute is has to be selected;Per aplicar l'arrodoniment de dates, cal seleccionar un atribut de tipus data;Para aplicar el redondeo de fechas, debe seleccionar un atributo de tipo fecha;si
alert;dateRoundingOneDateOnly;text;To apply date rounding only one date type attribute is allowed to be selected;Per aplicar l'arrodoniment de dates, nomÇs es permet seleccionar un atribut de tipus data;Para aplicar el redondeo de fechas, solo se permite seleccionar un atributo de tipo fecha;si
DialogFilterRowsByTime;to;label;To:;Fins a:;Hasta:;s
DialogQualityTemporalQuality;to;label;To:;Fins a:;Hasta:;s
DialogQualityThematicQuality;to;label;To:;Fins a:;Hasta:;s
DialogQualityTemporalQuality;tolerance;text;Tolerance:;TolerÖncia:;Tolerancia:;s
alert;tooManySeriesShowingFirst;text;Too many series ({0}). Showing the first {1} series.;Massa säries ({0}). Es mostren les primeres {1} säries.;Demasiadas series ({0}). Se muestran las primeras {1} series.;si
alert;tooManySeries20;text;Too many series (20). Remove one before adding another.;Massa säries (20). Suprimiu-ne una abans d'afegir-ne una altra.;Demasiadas series (20). Elimine una antes de a§adir otra.;si
TableOperations;TransposeTable;description;Transpose table;Transposa la taula;Transponer la tabla;si
DialogReplaceTextInTable;treatDatesAsText;label;Treat dates as text;Tracta les dates com a text;Tratar las fechas como texto;s
DialogReplaceTextInTable;treatNumbersAsText;label;Treat numbers as text;Tracta els nombres com a text;Tratar los n£meros como texto;s
DialogCompleteness;treatCaseIdentical;label;Treat uppercase and lowercase as identical;Tracta les maj£scules i les min£scules com a idäntiques;Tratar las may£sculas y las min£sculas como idÇnticas;s
DialogJoinTables;twoTablesRequired;text;Two tables are required.;Calen dues taules.;Se necesitan dos tablas.;s
DialogAddColumnPnt;type;title;Type:;Tipus:;Tipo:;s
DialogAddColumnBBox;type;title;Type:;Tipus:;Tipo:;s
dataQuality;uncertainty;description;Uncertainty;Incertesa;Incertidumbre;si
DialogQualityTemporalQuality;uncertaintyColumn;label;uncertainty column:;columna d'incertesa:;columna de incertidumbre:;s
DialogQualityPositionalQuality;uncertaintyColumn;label;Uncertainty column:;Columna d'incertesa:;Columna de incertidumbre:;s
clarification;unknownLocationError;text;Unknown error obtaining Location ({0}).;Error desconegut en obtenir la Location ({0}).;Error desconocido al obtener la Location ({0}).;s
chrome;update;button;Update;Actualitza;Actualizar;s
clarification;updatingEntity;text;Updating  {0} {1} ...;S'estÖ actualitzant {0} {1} ...;Actualizando {0} {1} ...;s
clarification;updatingMultiDatastream;text;Updating MultiDatastream {0} ...;S'estÖ actualitzant MultiDatastream {0} ...;Actualizando MultiDatastream {0} ...;s
chrome;upload;button;Upload;Puja;Subir;s
TableOperations;uploadToIC;help;Upload data and metadata to an inmutable catalog.;Puja les dades i les metadades a un catÖleg immutable.;Sube los datos y los metadatos a un cat†logo inmutable.;si
STAOperations;UploadObservations;description;Upload in STA;Puja a STA;Subir a STA;si
clarification;uploadObsCompleted;text;Upload observations in STA completed.;S'ha completat la pujada d'Observations a STA.;Se ha completado la carga de Observations en STA.;s
clarification;uploadObsStarted;text;Upload observations in STA started...;S'ha iniciat la pujada d'Observations a STA...;Se ha iniciado la carga de Observations en STA...;s
STAOperations;CalculateStatisticsSTA;description;Upload statistics in STA;Puja les estad°stiques a STA;Subir estad°sticas a STA;si
TableOperations;uploadToIC;description;Upload to inmutable catalog;Puja al catÖleg immutable;Subir al cat†logo inmutable;si
DialogImportJSON;urlList;label;URL list:;Llista d'URL:;Lista de URL:;s
DialogImportJSON;urlSingle;label;URL single:;URL individual:;URL individual:;s
DialogImportCSV;url;label;URL:;URL:;URL:;s
DialogImportGeoJSON;url;label;URL:;URL:;URL:;s
DialogImportDBF;url;label;URL:;URL:;URL:;s
DialogImportGPKG;url;label;URL:;URL:;URL:;s
DialogImportJSONLD;url;label;URL:;URL:;URL:;s
DialogQualityThematicQuality;usedForNote;text;Used for thematic accuracy by values and thematic validity;S'utilitza per a l'exactitud temÖtica per valors i la validesa temÖtica;Se utiliza para la exactitud tem†tica por valores y la validez tem†tica;s
clarification;userDeniedLocation;text;User denied request location.;L'usuari ha denegat la sol˙licitud d'ubicaci¢.;El usuario ha denegado la solicitud de ubicaci¢n.;s
DialogFormatConsistency;utm;option;UTM (Universal Transverse Mercator) ? e.g. 31T 430595 4581266;UTM (Universal Transverse Mercator) ? p. ex. 31T 430595 4581266;UTM (Universal Transverse Mercator) ? p. ej. 31T 430595 4581266;s
DialogFormatConsistency;uuid;label;UUID identification;Identificaci¢ UUID;Identificaci¢n UUID;s
DialogPivotTable;values;title;Values;Valors;Valores;s
DialogBarPlot;values;label;Values:;Valors:;Valores:;s
DialogBarPlot;variableName;label;Variable name (optional):;Nom de la variable (opcional):;Nombre de la variable (opcional):;s
DialogOneValue;variable;label;Variable:;Variable:;Variable:;s
STAOperations;ViewQuerySTA;description;View Query;Visualitza la consulta;Ver la consulta;si
TableOperations;Table;description;View Table;Visualitza la taula;Ver la tabla;si
DialogAddColumnPnt;wkt;label;Well Known Text:;Well Known Text:;Well Known Text:;s
DialogAddColumnBBox;wkt;label;Well Known Text:;Well Known Text:;Well Known Text:;s
DialogRadarPlot;wideTable;title;Wide table:;Taula ampla:;Tabla ancha:;s
DialogConfiguration;windowDisposition;label;Window disposition:;Disposici¢ de la finestra:;Disposici¢n de la ventana:;s
DialogColumnsCalculator;writeInFormula;button;Write in the formula;Escriu a la f¢rmula;Escribir en la f¢rmula;s
alert;wrongFeatureLocationFormat;text;Wrong format for 'feature' or 'location'. I cannot find the coordinates.;Format incorrecte per a 'feature' o 'location'. No es poden trobar les coordenades.;Formato incorrecto para 'feature' o 'location'. No se pueden encontrar las coordenadas.;si
DialogUploadIC;xLongitude;label;X (longitude):;X (longitud):;X (longitud):;s
DialogScatterPlot;xAxis;title;X axis;Eix X;Eje X;s
DialogUploadIC;xMax;label;X maximum:;X mÖxima:;X m†xima:;s
DialogQualityPositionalQuality;xMax;label;X maximum:;X mÖxima:;X m†xima:;s
DialogUploadIC;xMin;label;X minimum:;X m°nima:;X m°nima:;s
DialogQualityPositionalQuality;xMin;label;X minimum:;X m°nima:;X m°nima:;s
DialogAddColumnPnt;xOrLon;label;X or Longitude:;X o longitud:;X o longitud:;s
alert;xminHigherXmax;text;XMin value is higher than XMax value;El valor XMin Çs superior al valor XMax;El valor XMin es superior al valor XMax;si
DialogColumnsCalculator;xor;button;xor;xor;xor;s
DialogUploadIC;yLatitude;label;Y (latitude):;Y (latitud):;Y (latitud):;s
DialogScatterPlot;yAxis;title;Y axis;Eix Y;Eje Y;s
DialogUploadIC;yMax;label;Y maximum:;Y mÖxima:;Y m†xima:;s
DialogQualityPositionalQuality;yMax;label;Y maximum:;Y mÖxima:;Y m†xima:;s
DialogUploadIC;yMin;label;Y minimum:;Y m°nima:;Y m°nima:;s
DialogQualityPositionalQuality;yMin;label;Y minimum:;Y m°nima:;Y m°nima:;s
DialogAddColumnPnt;yOrLat;label;Y or Latitude:;Y o latitud:;Y o latitud:;s
DialogFilterRowsByTime;year;option;Year;Any;A§o;s
DialogUncertainty;years;label;Years;Anys;A§os;s
DialogQualityTemporalQuality;years;label;Years;Anys;A§os;s
DialogTableToolApiWarn;yesRecommended;button;Yes ? RECOMMENDED;S° ? RECOMANAT;S° ? RECOMENDADO;s
DialogAggregateColumns;yes;label;Yes:;S°:;S°:;s
DialogColumnsCalculator;yes;label;Yes:;S°:;S°:;s
alert;yminHigherYmax;text;YMin value is higher than YMax value;El valor YMin Çs superior al valor YMax;El valor YMin es superior al valor YMax;si
DialogTableToolApiWarn;body;text;"You are using data that comes from an API service. Using the tool {0} will be applied directly on the loaded data and not through an API query. Do you want to switch to ""{1}""?";"Esteu utilitzant dades que provenen d'un servei API. L'eina {0} s'aplicarÖ directament a les dades carregades i no mitjanáant una consulta a l'API. Voleu canviar a ""{1}""?";"Est† utilizando datos que provienen de un servicio API. La herramienta {0} se aplicar† directamente sobre los datos cargados y no a travÇs de una consulta a la API. ®Desea cambiar a ""{1}""?";s
alert;connectMultiDatastreamsRequired;text;You have to connect MultiDatastreams node with a compatible node STA \n Required nodes: Party,Sensor,ObservedProperty,Thing.\n Optional nodes: Campaigns, License,Observations;Heu de connectar el node MultiDatastreams amb un node STA compatible \n Nodes obligatoris: Party,Sensor,ObservedProperty,Thing.\n Nodes opcionals: Campaigns, License,Observations;Debe conectar el nodo MultiDatastreams con un nodo STA compatible \n Nodos obligatorios: Party,Sensor,ObservedProperty,Thing.\n Nodos opcionales: Campaigns, License,Observations;si
alert;linkEntitiesRequired;text;You need to Link entities required to create the new entity;Heu d'enllaáar les entitats necessÖries per crear l'entitat nova;Debe enlazar las entidades necesarias para crear la nueva entidad;si
DialogSaveLayer;zoneId;label;Zone id:;Id de zona:;Id de zona:;s
DialogAddColumnPnt;zoneId;label;Zone id:;Id de zona:;Id de zona:;s
filterChrome;duplicate;button;Duplicate;Duplica;Duplicar;
filterChrome;remove;button;Remove;Suprimeix;Eliminar;
filterChrome;addGroup;button;+ group;+ grup;+ grupo;
filterChrome;addCondition;button;+ condition;+ condici¢;+ condici¢n;
filterChrome;group;label;Group;Grup;Grupo;
filterChrome;condition;label;Condition;Condici¢;Condici¢n;
filterChrome;property;label;Property:;Propietat:;Propiedad:;
filterChrome;operator;label;Operator:;Operador:;Operador:;
filterChrome;value;label;Value:;Valor:;Valor:;
filterChrome;enterValue;placeholder;Enter a value;Introduãu un valor;Introduzca un valor;
filterChrome;orTypeKey;placeholder;or type a key;o escriviu una clau;o escriba una clave;
filterChrome;parentUrl;label;Parent URL:;URL pare:;URL padre:;
filterChrome;parentUrlNone;text;Parent URL: (none);URL pare: (cap);URL padre: (ninguna);
filterChrome;dragGroup;title;Drag group;Arrossega el grup;Arrastrar el grupo;
filterChrome;dragCondition;title;Drag condition;Arrossega la condici¢;Arrastrar la condici¢n;
filterChrome;removeHop;title;Remove hop;Suprimeix el salt;Eliminar el salto;
filterChrome;and;label;AND;I;Y;
filterChrome;or;label;OR;O;O;
dialogExtra;Show_STAplus_scheme;label;Show STAplus scheme;Mostra l'esquema STAplus;Mostrar el esquema STAplus;
dialogExtra;How_many;label;How many;Quants;Cu†ntos;
dialogExtra;fields;label;fields;camps;campos;
dialogExtra;do_you_want_to_introduce_in_the_multidat;label;do you want to introduce in the multidatastream?;voleu introduir al multidatastream?;quiere introducir en el multidatastream?;
dialogExtra;Separate_columns;label;Separate columns:;Separa columnes:;Separar columnas:;
dialogExtra;For_each_column_rows_with_the_follow_sta;label;For each column, rows with the follow statistics will be created:;Per a cada columna, es crearan files amb les estad°stiques segÅents:;Para cada columna, se crear†n filas con las estad°sticas siguientes:;
dialogExtra;Min_value;label;Min. value;Valor m°n.;Valor m°n.;
dialogExtra;Max_value;label;Max value;Valor mÖx.;Valor m†x.;
dialogExtra;Standard_deviation;label;Standard deviation;Desviaci¢ estÖndard;Desviaci¢n est†ndar;
dialogExtra;First_value;label;First value;Primer valor;Primer valor;
dialogExtra;Last_value;label;Last value;Darrer valor;Èltimo valor;
dialogExtra;Random_value;label;Random value;Valor aleatori;Valor aleatorio;
dialogExtra;Proportion_defined;label;Proportion defined;Proporci¢ definida;Proporci¢n definida;
dialogExtra;Count_defined;label;Count defined;Recompte definit;Conteo definido;
dialogExtra;Select_columns;label;Select columns:;Seleccioneu columnes:;Seleccionar columnas:;
dialogExtra;Select_column_with_the_entity_to_see_mor;label;Select column with the entity to see more details (expand):;Seleccioneu la columna amb l'entitat per veure mÇs detalls (expand):;Seleccione la columna con la entidad para ver m†s detalles (expand):;
dialogExtra;Author;label;Author:;Autor:;Autor:;
dialogExtra;Select_an_element;label;Select an element:;Seleccioneu un element:;Seleccione un elemento:;
dialogExtra;Filter;label;Filter:;Filtre:;Filtro:;
dialogExtra;Filter_Rows_OGC_API_Features;label;Filter Rows (OGC API Features);Filtra files (OGC API Features);Filtrar filas (OGC API Features);
dialogExtra;Filter_Rows_table;label;Filter Rows (table);Filtra files (taula);Filtrar filas (tabla);
dialogExtra;Path;label;Path:;Cam°:;Ruta:;
dialogExtra;You_can_change_the_text_by_default_to_ma;label;You can change the text by default to make it more explainatory.;Podeu canviar el text per defecte per fer-lo mÇs explicatiu.;Puede cambiar el texto por defecto para hacerlo m†s explicativo.;
dialogExtra;Do_not_rename_quote_One_Value_quote_or_q;label;Do not rename &quote,One Value&quote, or &quote,Count&quote, nodes.;No canvieu el nom dels nodes &quote,One Value&quote, ni &quote,Count&quote,.;No renombre los nodos &quote,One Value&quote, ni &quote,Count&quote,.;
dialogExtra;Add_column_with_transformed_point_geomet;label;Add column with transformed point geometry;Afegeix una columna amb geometria de punt transformada;A§adir una columna con geometr°a de punto transformada;
dialogExtra;GeoJSON_Geometry;label;GeoJSON Geometry;Geometria GeoJSON;Geometr°a GeoJSON;
dialogExtra;Well_Known_Text;label;Well Known Text;Well Known Text;Well Known Text;
dialogExtra;Add_column_with_transformed_BoundingBox;label;Add column with transformed BoundingBox geometry;Afegeix una columna amb geometria BoundingBox transformada;A§adir una columna con geometr°a BoundingBox transformada;
dialogExtra;Maximum_Y_or_Longitude;label;Maximum Y or Longitude:;Y o longitud mÖxima:;Y o longitud m†xima:;
dialogExtra;DGGS_codes_table_from_geospatial_extent;label;DGGS codes table from geospatial extent;Taula de codis DGGS a partir de l'extensi¢ geoespacial;Tabla de c¢digos DGGS a partir de la extensi¢n geoespacial;
dialogExtra;Create_a_new_table;label;Create a new table;Crea una taula nova;Crear una tabla nueva;
dialogExtra;Geospatial_user_feedback;label;Geospatial user feedback;Comentaris d'usuari geoespacials;Comentarios de usuario geoespaciales;
dialogExtra;Item_column;label;Item column;Columna d'element;Columna de elemento;
dialogExtra;name_label;label;(name, label...):;(nom, etiqueta...):;(nombre, etiqueta...):;
dialogExtra;All_series_are_created_automatically_Col;label;All series are created automatically. Colors are assigned on Draw.;Totes les säries es creen automÖticament. Els colors s'assignen en dibuixar.;Todas las series se crean autom†ticamente. Los colores se asignan al dibujar.;
dialogExtra;Refresh_time;label;Refresh time (;Temps d'actualitzaci¢ (;Tiempo de actualizaci¢n (;
dialogExtra;not_applicable_with_WebSub_enabled;label;not applicable with WebSub enabled;no aplicable amb WebSub activat;no aplicable con WebSub activado;
dialogExtra;To_upload_data_in_a_STA_server_you_shoul;label;To upload data in a STA server, you should Login first.;Per pujar dades a un servidor STA, heu d'iniciar la sessi¢ primer.;Para subir datos a un servidor STA, debe iniciar sesi¢n primero.;
dialogExtra;Upload_table_as_STA_observations;label;Upload table as STA observations;Puja la taula com a observacions STA;Subir la tabla como observaciones STA;
dialogExtra;Several_observed_properties_of_the_same;label;Several observed properties of the same feature in a single column and in multiple rows;Diverses propietats observades de la mateixa feature en una sola columna i en m£ltiples files;Varias propiedades observadas de la misma feature en una sola columna y en m£ltiples filas;
dialogExtra;Upload_statistical_values_to_STA;label;Upload statistical values to STA;Puja valors estad°stics a STA;Subir valores estad°sticos a STA;
dialogExtra;Decimal_Degrees_DD_e_g_41_40338;label;Decimal Degrees (DD) ? e.g. 41.40338;Graus decimals (DD) ? p. ex. 41.40338;Grados decimales (DD) ? p. ej. 41.40338;
dialogExtra;Signed_Decimal_Degrees_e_g_41_40338;label;Signed Decimal Degrees ? e.g. +41.40338;Graus decimals amb signe ? p. ex. +41.40338;Grados decimales con signo ? p. ej. +41.40338;
dialogExtra;Degrees_minutes_and_seconds_DMS_e_g_41_2;label;Degrees, minutes and seconds (DMS) ? e.g. 41¯24?12.2?N;Graus, minuts i segons (DMS) ? p. ex. 41¯24?12.2?N;Grados, minutos y segundos (DMS) ? p. ej. 41¯24?12.2?N;
dialogExtra;Degrees_and_decimal_minutes_DDM_e_g_41_2;label;Degrees and decimal minutes (DDM) ? e.g. 41¯24.2033?N;Graus i minuts decimals (DDM) ? p. ex. 41¯24.2033?N;Grados y minutos decimales (DDM) ? p. ej. 41¯24.2033?N;
dialogExtra;UTM_Universal_Transverse_Mercator_e_g_31;label;UTM (Universal Transverse Mercator) ? e.g. 31T 430595 4581266;UTM (Universal Transverse Mercator) ? p. ex. 31T 430595 4581266;UTM (Universal Transverse Mercator) ? p. ej. 31T 430595 4581266;
